qpid	desc
ZLC01G0000010	heterochromatin formation
ZLC01G0000050	mRNA cis splicing, via spliceosome
ZLC01G0000110	peroxisomal transport
ZLC01G0000110	proteolysis
ZLC01G0000120	mRNA cis splicing, via spliceosome
ZLC01G0000230	proteolysis
ZLC01G0000230	cellular process
ZLC01G0000250	biosynthetic process
ZLC01G0000250	cellular process
ZLC01G0000270	regulation of DNA-templated transcription
ZLC01G0000280	protein transport
ZLC01G0000290	phosphate-containing compound metabolic process
ZLC01G0000290	diphosphate metabolic process
ZLC01G0000300	translation
ZLC01G0000310	protein ubiquitination
ZLC01G0000310	cellular process
ZLC01G0000320	protein glycosylation
ZLC01G0000320	embryo development ending in seed dormancy
ZLC01G0000340	snRNA transcription by RNA polymerase III
ZLC01G0000340	snRNA transcription by RNA polymerase II
ZLC01G0000370	starch biosynthetic process
ZLC01G0000380	carbohydrate metabolic process
ZLC01G0000380	defense response
ZLC01G0000380	cellular process
ZLC01G0000390	protein deubiquitination
ZLC01G0000390	proteolysis
ZLC01G0000390	cellular process
ZLC01G0000410	formaldehyde catabolic process
ZLC01G0000430	regulation of DNA-templated transcription
ZLC01G0000450	snRNA import into nucleus
ZLC01G0000480	plant organ development
ZLC01G0000480	DNA-templated transcription
ZLC01G0000480	regulation of DNA-templated transcription
ZLC01G0000500	cellulose catabolic process
ZLC01G0000500	cellular process
ZLC01G0000530	regulation of DNA-templated transcription
ZLC01G0000540	translation
ZLC01G0000540	modification-dependent protein catabolic process
ZLC01G0000540	protein ubiquitination
ZLC01G0000550	positive regulation of DNA-templated transcription
ZLC01G0000550	regulation of transcription by RNA polymerase II
ZLC01G0000560	transsulfuration
ZLC01G0000580	root hair cell tip growth
ZLC01G0000580	exocytosis
ZLC01G0000590	seed development
ZLC01G0000590	response to iron ion
ZLC01G0000590	oligopeptide transmembrane transport
ZLC01G0000590	siderophore-dependent iron import into cell
ZLC01G0000590	peptide transport
ZLC01G0000610	chromatin remodeling
ZLC01G0000660	oligopeptide transmembrane transport
ZLC01G0000660	peptide transport
ZLC01G0000670	oligopeptide transmembrane transport
ZLC01G0000670	peptide transport
ZLC01G0000670	protein transport
ZLC01G0000680	oligopeptide transmembrane transport
ZLC01G0000680	peptide transport
ZLC01G0000680	protein transport
ZLC01G0000690	chromatin remodeling
ZLC01G0000690	intracellular signal transduction
ZLC01G0000700	ERAD pathway
ZLC01G0000710	malate transport
ZLC01G0000720	malate transport
ZLC01G0000720	monoatomic ion transmembrane transport
ZLC01G0000730	regulation of DNA-templated transcription
ZLC01G0000740	intracellular sphingolipid homeostasis
